Hotel_name,Location,Budget,Discount,Rating,Amenities
OYO Sri Sai Guru Comforts,"Near Kodigihalli Gate, Byatarayanapura, Bangalore",1159,65% off,75,"24/7 Room Service, Free Parking"
SPOT ON Hotel Relax Inn Near Banashankari Metro Station,"Banashankari 3rd Stage, Bangalore",645,77% off,69,"Free Breakfast, Free Wi-Fi"
Flagship Hotel Grow More Near Shiv Mandir,"East Babarpur, Delhi",951,67% off,610,"Air Conditioning, Swimming Pool"
OYO Pratiksha Guest House Near City Centre Salt Lake,"Bangur Avenue Block B, Kolkata Kolkata West Bengal India 700055",,,,"Gym Access, Free Airport Shuttle"
Collection O Premium Eden Au Lac Near Sri Someshwara Swami Temple,"Near Indiranagar Police Station, Indiranagar, Bangalore",1953,64% off,200,"Pet Friendly, Free Breakfast"
OYO Shoolin Residency Near M2k Cinemas Rohini,"Near M2k Cinema, Delhi",770,66% off,3198,"Wi-Fi, Room Service"
Flagship Amaris Stay Hub Near Science City,"171D/1F/2, 49 Picnic Garden Road, VIP Bazar, Off EM Bypass, Near Science City",699,80% off,80,"Parking, Spa Access"
Collection O Dayz Inn Deluxe Near Satyam Inox Patel Nagar,"B Block Lawrence Road Industrial Area Near Keshavpuram Fire Station Delhi 110035, Delhi",449,86% off,270,"Breakfast Included, Fitness Center"
OYO Hotel Delhi Delight Near Sarai Rohilla Railway station,"Near Sarai Rohilla Railway Station, Delhi",1996,64% off,102,"Free Wi-Fi, Laundry Service"
SPOT ON Janapriya Lodge Near Hare Krishna Hill,"Bangalore Urban, Bangalore",781,67% off,372,"Free Wi-Fi, 24/7 Front Desk"
Flagship H B Guest House,"Near Ruby Hospital, Kolkata",,,,"Room Service, Air Conditioning"
Flagship Hotel New Aamaze Inn Near Acropolis Mall,"Near Vivanta Hotel, Kolkata",777,75% off,822,"Complimentary Drinks, Wi-Fi"
Super OYO Capital O High end Withinn Hotel Near Hare Krishna Hill,"Near NIAS, Mathikere Extension, Bangalore",1873,65% off,993,"Business Center, Meeting Rooms"
OYO G R Hospitality,"VIP Road Baguihati Kolkata Airport Near Ladies Hostel, Narayantala",820,69% off,1063,"Room Service, Free Parking"
OYO Hotel Park View Near Adarsh Nagar Metro Station,"Near Adarsh nagar, Matmy Memar, Delhi",957,67% off,1343,"Breakfast Included, Wi-Fi"
OYO Flagship 812443 MRS Inn,"Sector III, Kolkata",1199,57% off,3,"Laundry Service, Parking"
Collection O 811864 Hotel Aura Stay,"Paharganj, Delhi",776,67% off,62,"Wi-Fi, Pool Access"
OYO Flagship 69760 Hotel Anchal Deluxe,"Near New Delhi Railway Station, Delhi",731,70% off,722,"Gym, Air Conditioning"
OYO Smriti Villa Residency,"Sector IIInull, Kolkata",,,,"Spa, Room Service"
Capital O 80951 Hotel Radisson Suite,"India, Mumbai",2819,65% off,104,"Airport Shuttle, Breakfast"
